Date	WSPD	WVHT	u10
2014-01-13 05:50:00	9.5	1.93	9.534482447593355
2014-01-13 06:50:00	9.3	1.78	9.333756501328232
2014-01-13 07:50:00	8.1	1.84	8.129400823737491
2014-01-13 08:50:00	8.3	1.8	8.330126770002616
2014-01-13 09:50:00	6.6	1.86	6.623956226749066
2014-01-13 10:50:00	6.5	1.76	6.5235932536165055
2014-01-13 11:50:00	6.2	1.52	6.22250433421882
2014-01-13 12:50:00	4.3	1.4	4.31560784470015
2014-01-13 13:50:00	4.5	1.49	4.516333790965273
2014-01-13 14:50:00	5.0	1.52	5.018148656628081
2014-01-13 15:50:00	6.0	1.27	6.021778387953698
2014-01-13 16:50:00	7.4	1.21	7.42686001180956
2014-01-13 17:50:00	7.2	1.27	7.2261340655444375
2014-01-13 18:50:00	6.6	1.07	6.623956226749066
2014-01-13 19:50:00	7.9	1.11	7.928674877472369
2014-01-13 20:50:00	7.2	1.17	7.2261340655444375
2014-01-13 21:50:00	7.7	1.28	7.727948931207245
2014-01-13 22:50:00	8.3	1.21	8.330126770002616
2014-01-13 23:50:00	7.0	1.24	7.025408119279313
2014-01-14 00:50:00	6.4	1.18	6.423230280483945
2014-01-14 01:50:00	7.4	1.17	7.42686001180956
2014-01-14 02:50:00	8.1	1.3	8.129400823737491
2014-01-14 03:50:00	8.1	1.37	8.129400823737491
2014-01-14 04:50:00	8.2	1.44	8.229763796870053
2014-01-14 05:50:00	7.7	1.59	7.727948931207245
2014-01-14 06:50:00	6.4	1.49	6.423230280483945
2014-01-14 07:50:00	8.6	1.41	8.6312156894003
2014-01-14 08:50:00	8.3	1.41	8.330126770002616
2014-01-14 09:50:00	9.1	1.48	9.133030555063108
2014-01-14 10:50:00	8.2	1.5	8.229763796870053
2014-01-14 11:50:00	5.1	1.46	5.118511629760643
2014-01-14 12:50:00	7.5	1.3	7.527222984942123
2014-01-14 13:50:00	3.7	1.31	3.71343000590478
2014-01-14 14:50:00	1.1	1.14	1.1039927044581779
2014-01-14 15:50:00	2.9	1.18	2.9105262208442872
2014-01-14 16:50:00	1.0	1.12	1.0036297313256162
2014-01-14 17:50:00	0.7	1.05	0.7025408119279314
2014-01-14 18:50:00	1.8	1.36	1.8065335163861094
2014-01-14 19:50:00	1.7	1.64	1.7061705432535477
2014-01-14 20:50:00	2.7	1.82	2.709800274579164
2014-01-14 21:50:00	3.4	1.88	3.4123410865070953
2014-01-14 22:50:00	6.8	1.76	6.824682173014191
2014-01-14 23:50:00	7.7	1.73	7.727948931207245
2014-01-15 00:50:00	7.0	1.49	7.025408119279313
2014-01-15 01:50:00	6.5	1.47	6.5235932536165055
2014-01-15 02:50:00	10.8	1.46	10.839201098316655
2014-01-15 03:50:00	8.5	1.67	8.530852716267738
2014-01-15 04:50:00	6.5	1.66	6.5235932536165055
2014-01-15 05:50:00	5.5	1.95	5.519963522290889
2014-01-15 06:50:00	6.2	1.9	6.22250433421882
2014-01-15 07:50:00	4.0	2.21	4.014518925302465
2014-01-15 08:50:00	3.4	2.11	3.4123410865070953
2014-01-15 09:50:00	5.2	2.37	5.218874602893204
2014-01-15 10:50:00	4.9	2.38	4.91778568349552
2014-01-15 11:50:00	3.2	2.18	3.2116151402419724
2014-01-15 12:50:00	1.3	2.09	1.304718650723301
2014-01-15 13:50:00	1.9	2.18	1.9068964895186706
2014-01-15 14:50:00	3.0	2.48	3.010889193976849
2014-01-15 15:50:00	3.5	2.26	3.5127040596396566
2014-01-15 16:50:00	4.3	2.25	4.31560784470015
2014-01-15 17:50:00	3.6	2.13	3.6130670327722187
2014-01-15 18:50:00	4.5	2.37	4.516333790965273
2014-01-15 19:50:00	4.2	2.09	4.215244871567588
2014-01-15 20:50:00	5.0	1.9	5.018148656628081
2014-01-15 21:50:00	3.3	2.24	3.311978113374533
2014-01-15 22:50:00	1.4	1.81	1.4050816238558628
2014-01-15 23:50:00	1.5	1.89	1.5054445969884245
2014-01-16 00:50:00	2.5	1.68	2.5090743283140404
2014-01-16 01:50:00	3.9	1.56	3.9141559521699034
2014-01-16 02:50:00	3.4	1.68	3.4123410865070953
2014-01-16 03:50:00	2.6	1.37	2.609437301446602
2014-01-16 04:50:00	1.8	1.51	1.8065335163861094
2014-01-16 05:50:00	2.8	1.3	2.8101632477117255
2014-01-16 06:50:00	3.1	1.31	3.11125216710941
2014-01-16 07:50:00	3.8	1.37	3.8137929790373413
2014-01-16 08:50:00	5.6	1.09	5.620326495423451
